CATEGORIA_ID's;GRUPOS;CATEGORIAS
C19;C00 C97 Neoplasias [tumores] malignas(os);C19 Neoplasia maligna da junção retossigmóide
C20;C00 C97 Neoplasias [tumores] malignas(os);C20 Neoplasia maligna do reto
C21;C00 C97 Neoplasias [tumores] malignas(os);C21 Neoplasia maligna do ânus e do canal anal
C22;C00 C97 Neoplasias [tumores] malignas(os);C22 Neoplasia maligna do fígado e das vias biliares intra-hepáticas
C23;C00 C97 Neoplasias [tumores] malignas(os);C23 Neoplasia maligna da vesícula biliar
C24;C00 C97 Neoplasias [tumores] malignas(os);C24 Neoplasia maligna de outras partes
C25;C00 C97 Neoplasias [tumores] malignas(os);C25 Neoplasia maligna do pâncreas
C26;C00 C97 Neoplasias [tumores] malignas(os);C26 Neoplasia maligna de outros órgãos digestivos e de localizações mal definidas no aparelho digestivo
C30;C00 C97 Neoplasias [tumores] malignas(os);C30 Neoplasia maligna da cavidade nasal e do ouvido médio
C31;C00 C97 Neoplasias [tumores] malignas(os);C31 Neoplasia maligna dos seios da face
C32;C00 C97 Neoplasias [tumores] malignas(os);C32 Neoplasia maligna da laringe
C33;C00 C97 Neoplasias [tumores] malignas(os);C33 Neoplasia maligna da traquéia
C34;C00 C97 Neoplasias [tumores] malignas(os);C34 Neoplasia maligna dos brônquios e dos pulmões
C37;C00 C97 Neoplasias [tumores] malignas(os);C37 Neoplasia maligna do timo
C38;C00 C97 Neoplasias [tumores] malignas(os);C38 Neoplasia maligna do coração
C39;C00 C97 Neoplasias [tumores] malignas(os);C39 Neoplasia maligna de outras localizações e de localizações mal definidas do aparelho respiratório e dos órgãos intratorácicos
C40;C00 C97 Neoplasias [tumores] malignas(os);C40 Neoplasia maligna dos ossos e cartilagens articulares dos membros
C41;C00 C97 Neoplasias [tumores] malignas(os);C41 Neoplasia maligna dos ossos e das cartilagens articulares de outras localizações e de localizações não especificadas
C43;C00 C97 Neoplasias [tumores] malignas(os);C43 Melanoma maligno da pele
C44;C00 C97 Neoplasias [tumores] malignas(os);C44 Outras neoplasias malignas da pele
C45;C00 C97 Neoplasias [tumores] malignas(os);C45 Mesotelioma
C46;C00 C97 Neoplasias [tumores] malignas(os);C46 Sarcoma de Kaposi
C47;C00 C97 Neoplasias [tumores] malignas(os);C47 Neoplasia maligna dos nervos periféricos e do sistema nervoso autônomo
C48;C00 C97 Neoplasias [tumores] malignas(os);C48 Neoplasia maligna dos tecidos moles do retroperitônio e do peritônio
C49;C00 C97 Neoplasias [tumores] malignas(os);C49 Neoplasia maligna do tecido conjuntivo e de outros tecidos moles
C50;C00 C97 Neoplasias [tumores] malignas(os);C50 Neoplasia maligna da mama
C51;C00 C97 Neoplasias [tumores] malignas(os);C51 Neoplasia maligna da vulva
C52;C00 C97 Neoplasias [tumores] malignas(os);C52 Neoplasia maligna da vagina
C53;C00 C97 Neoplasias [tumores] malignas(os);C53 Neoplasia maligna do colo do útero
C54;C00 C97 Neoplasias [tumores] malignas(os);C54 Neoplasia maligna do corpo do útero
C55;C00 C97 Neoplasias [tumores] malignas(os);C55 Neoplasia maligna do útero
C56;C00 C97 Neoplasias [tumores] malignas(os);C56 Neoplasia maligna do ovário
C57;C00 C97 Neoplasias [tumores] malignas(os);C57 Neoplasia maligna de outros órgãos genitais femininos e dos não especificados
C58;C00 C97 Neoplasias [tumores] malignas(os);C58 Neoplasia maligna da placenta
C60;C00 C97 Neoplasias [tumores] malignas(os);C60 Neoplasia maligna do pênis
C61;C00 C97 Neoplasias [tumores] malignas(os);C61 Neoplasia maligna da próstata
C62;C00 C97 Neoplasias [tumores] malignas(os);C62 Neoplasia maligna dos testículos
C63;C00 C97 Neoplasias [tumores] malignas(os);C63 Neoplasia maligna de outros órgãos genitais masculinos e dos não especificados
C64;C00 C97 Neoplasias [tumores] malignas(os);C64 Neoplasia maligna do rim
C65;C00 C97 Neoplasias [tumores] malignas(os);C65 Neoplasia maligna da pelve renal
C66;C00 C97 Neoplasias [tumores] malignas(os);C66 Neoplasia maligna dos ureteres
C67;C00 C97 Neoplasias [tumores] malignas(os);C67 Neoplasia maligna da bexiga
C68;C00 C97 Neoplasias [tumores] malignas(os);C68 Neoplasia maligna de outros órgãos urinários e dos não especificados
C69;C00 C97 Neoplasias [tumores] malignas(os);C69 Neoplasia maligna do olho e anexos
C70;C00 C97 Neoplasias [tumores] malignas(os);C70 Neoplasia maligna das meninges
C71;C00 C97 Neoplasias [tumores] malignas(os);C71 Neoplasia maligna do encéfalo
C72;C00 C97 Neoplasias [tumores] malignas(os);C72 Neoplasia maligna da medula espinhal
C73;C00 C97 Neoplasias [tumores] malignas(os);C73 Neoplasia maligna da glândula tireóide
C74;C00 C97 Neoplasias [tumores] malignas(os);C74 Neoplasia maligna da glândula supra-renal [Glândula adrenal]
C75;C00 C97 Neoplasias [tumores] malignas(os);C75 Neoplasia maligna de outras glândulas endócrinas e de estruturas relacionadas
C76;C00 C97 Neoplasias [tumores] malignas(os);C76 Neoplasia maligna de outras localizações e de localizações mal definidas
C77;C00 C97 Neoplasias [tumores] malignas(os);C77 Neoplasia maligna secundária e não especificada dos gânglios linfáticos
C78;C00 C97 Neoplasias [tumores] malignas(os);C78 Neoplasia maligna secundária dos órgãos respiratórios e digestivos
C79;C00 C97 Neoplasias [tumores] malignas(os);C79 Neoplasia maligna secundária de outras localizações
C80;C00 C97 Neoplasias [tumores] malignas(os);C80 Neoplasia maligna
C81;C00 C97 Neoplasias [tumores] malignas(os);C81 Doença de Hodgkin
C82;C00 C97 Neoplasias [tumores] malignas(os);C82 Linfoma não-Hodgkin
C83;C00 C97 Neoplasias [tumores] malignas(os);C83 Linfoma não-Hodgkin difuso
C84;C00 C97 Neoplasias [tumores] malignas(os);C84 Linfomas de células T cutâneas e periféricas
C85;C00 C97 Neoplasias [tumores] malignas(os);C85 Linfoma não-Hodgkin de outros tipos e de tipo não especificado
C88;C00 C97 Neoplasias [tumores] malignas(os);C88 Doenças imunoproliferativas malignas
C90;C00 C97 Neoplasias [tumores] malignas(os);C90 Mieloma múltiplo e neoplasias malignas de plasmócitos
C91;C00 C97 Neoplasias [tumores] malignas(os);C91 Leucemia linfóide
C92;C00 C97 Neoplasias [tumores] malignas(os);C92 Leucemia mielóide
C93;C00 C97 Neoplasias [tumores] malignas(os);C93 Leucemia monocítica
C94;C00 C97 Neoplasias [tumores] malignas(os);C94 Outras leucemias de células de tipo especificado
C95;C00 C97 Neoplasias [tumores] malignas(os);C95 Leucemia de tipo celular não especificado
C96;C00 C97 Neoplasias [tumores] malignas(os);C96 Outras neoplasias malignas e as não especificadas dos tecidos linfático
C97;C00 C97 Neoplasias [tumores] malignas(os);C97 Neoplasias malignas de localizações múltiplas independentes (primárias)
C00;C00 C75 Neoplasias [tumores] malignas(os);C00 Neoplasia maligna do lábio
C01;C00 C75 Neoplasias [tumores] malignas(os);C01 Neoplasia maligna da base da língua
C02;C00 C75 Neoplasias [tumores] malignas(os);C02 Neoplasia maligna de outras partes e de partes não especificadas da língua
C03;C00 C75 Neoplasias [tumores] malignas(os);C03 Neoplasia maligna da gengiva
C04;C00 C75 Neoplasias [tumores] malignas(os);C04 Neoplasia maligna do assoalho da boca
C05;C00 C75 Neoplasias [tumores] malignas(os);C05 Neoplasia maligna do palato
C06;C00 C75 Neoplasias [tumores] malignas(os);C06 Neoplasia maligna de outras partes e de partes não especificadas da boca
C07;C00 C75 Neoplasias [tumores] malignas(os);C07 Neoplasia maligna da glândula parótida
C08;C00 C75 Neoplasias [tumores] malignas(os);C08 Neoplasia maligna de outras glândulas salivares maiores e as não especificadas
C09;C00 C75 Neoplasias [tumores] malignas(os);C09 Neoplasia maligna da amígdala
C10;C00 C75 Neoplasias [tumores] malignas(os);C10 Neoplasia maligna da orofaringe
C11;C00 C75 Neoplasias [tumores] malignas(os);C11 Neoplasia maligna da nasofaringe
C12;C00 C75 Neoplasias [tumores] malignas(os);C12 Neoplasia maligna do seio piriforme
C13;C00 C75 Neoplasias [tumores] malignas(os);C13 Neoplasia maligna da hipofaringe
C14;C00 C75 Neoplasias [tumores] malignas(os);C14 Neoplasia maligna de outras localizações e de localizações mal definida
C15;C00 C75 Neoplasias [tumores] malignas(os);C15 Neoplasia maligna do esôfago
C16;C00 C75 Neoplasias [tumores] malignas(os);C16 Neoplasia maligna do estômago
C17;C00 C75 Neoplasias [tumores] malignas(os);C17 Neoplasia maligna do intestino delgado
C18;C00 C75 Neoplasias [tumores] malignas(os);C18 Neoplasia maligna do cólon
C19;C00 C75 Neoplasias [tumores] malignas(os);C19 Neoplasia maligna da junção retossigmóide
C20;C00 C75 Neoplasias [tumores] malignas(os);C20 Neoplasia maligna do reto
C21;C00 C75 Neoplasias [tumores] malignas(os);C21 Neoplasia maligna do ânus e do canal anal
C22;C00 C75 Neoplasias [tumores] malignas(os);C22 Neoplasia maligna do fígado e das vias biliares intra-hepáticas
C23;C00 C75 Neoplasias [tumores] malignas(os);C23 Neoplasia maligna da vesícula biliar
C24;C00 C75 Neoplasias [tumores] malignas(os);C24 Neoplasia maligna de outras partes
C25;C00 C75 Neoplasias [tumores] malignas(os);C25 Neoplasia maligna do pâncreas
C26;C00 C75 Neoplasias [tumores] malignas(os);C26 Neoplasia maligna de outros órgãos digestivos e de localizações mal definidas no aparelho digestivo
C30;C00 C75 Neoplasias [tumores] malignas(os);C30 Neoplasia maligna da cavidade nasal e do ouvido médio
C31;C00 C75 Neoplasias [tumores] malignas(os);C31 Neoplasia maligna dos seios da face
C32;C00 C75 Neoplasias [tumores] malignas(os);C32 Neoplasia maligna da laringe
C33;C00 C75 Neoplasias [tumores] malignas(os);C33 Neoplasia maligna da traquéia
C34;C00 C75 Neoplasias [tumores] malignas(os);C34 Neoplasia maligna dos brônquios e dos pulmões
C37;C00 C75 Neoplasias [tumores] malignas(os);C37 Neoplasia maligna do timo
C38;C00 C75 Neoplasias [tumores] malignas(os);C38 Neoplasia maligna do coração
C39;C00 C75 Neoplasias [tumores] malignas(os);C39 Neoplasia maligna de outras localizações e de localizações mal definidas do aparelho respiratório e dos órgãos intratorácicos
C40;C00 C75 Neoplasias [tumores] malignas(os);C40 Neoplasia maligna dos ossos e cartilagens articulares dos membros
C41;C00 C75 Neoplasias [tumores] malignas(os);C41 Neoplasia maligna dos ossos e das cartilagens articulares de outras localizações e de localizações não especificadas
C43;C00 C75 Neoplasias [tumores] malignas(os);C43 Melanoma maligno da pele
C44;C00 C75 Neoplasias [tumores] malignas(os);C44 Outras neoplasias malignas da pele
C45;C00 C75 Neoplasias [tumores] malignas(os);C45 Mesotelioma
C46;C00 C75 Neoplasias [tumores] malignas(os);C46 Sarcoma de Kaposi
C47;C00 C75 Neoplasias [tumores] malignas(os);C47 Neoplasia maligna dos nervos periféricos e do sistema nervoso autônomo
C48;C00 C75 Neoplasias [tumores] malignas(os);C48 Neoplasia maligna dos tecidos moles do retroperitônio e do peritônio
C49;C00 C75 Neoplasias [tumores] malignas(os);C49 Neoplasia maligna do tecido conjuntivo e de outros tecidos moles
C50;C00 C75 Neoplasias [tumores] malignas(os);C50 Neoplasia maligna da mama
C51;C00 C75 Neoplasias [tumores] malignas(os);C51 Neoplasia maligna da vulva
C52;C00 C75 Neoplasias [tumores] malignas(os);C52 Neoplasia maligna da vagina
C53;C00 C75 Neoplasias [tumores] malignas(os);C53 Neoplasia maligna do colo do útero
C54;C00 C75 Neoplasias [tumores] malignas(os);C54 Neoplasia maligna do corpo do útero
C55;C00 C75 Neoplasias [tumores] malignas(os);C55 Neoplasia maligna do útero
C56;C00 C75 Neoplasias [tumores] malignas(os);C56 Neoplasia maligna do ovário
C57;C00 C75 Neoplasias [tumores] malignas(os);C57 Neoplasia maligna de outros órgãos genitais femininos e dos não especificados
C58;C00 C75 Neoplasias [tumores] malignas(os);C58 Neoplasia maligna da placenta
C60;C00 C75 Neoplasias [tumores] malignas(os);C60 Neoplasia maligna do pênis
C61;C00 C75 Neoplasias [tumores] malignas(os);C61 Neoplasia maligna da próstata
C62;C00 C75 Neoplasias [tumores] malignas(os);C62 Neoplasia maligna dos testículos
C63;C00 C75 Neoplasias [tumores] malignas(os);C63 Neoplasia maligna de outros órgãos genitais masculinos e dos não especificados
C64;C00 C75 Neoplasias [tumores] malignas(os);C64 Neoplasia maligna do rim
C65;C00 C75 Neoplasias [tumores] malignas(os);C65 Neoplasia maligna da pelve renal
C66;C00 C75 Neoplasias [tumores] malignas(os);C66 Neoplasia maligna dos ureteres
C67;C00 C75 Neoplasias [tumores] malignas(os);C67 Neoplasia maligna da bexiga
C68;C00 C75 Neoplasias [tumores] malignas(os);C68 Neoplasia maligna de outros órgãos urinários e dos não especificados
C69;C00 C75 Neoplasias [tumores] malignas(os);C69 Neoplasia maligna do olho e anexos
